

Device Info|Sensor|Firmware Version|Hardware Version
|<YEI3Space WL:12000865>;17Mar2015N37;TSS-WL                  v2.0.0  

Raw Accelerometer Data (X, Y, Z)|Time|Battery
(-0.01904296875, 0.99267578125, -0.0078125)|5.23923307366|45 % 
(-0.020751953125, 0.989013671875, -0.00537109375)|5.24879041832|45 % 
(-0.0166015625, 0.997314453125, -0.0068359375)|5.26827765129|45 % 
(-0.0205078125, 0.9990234375, -0.00732421875)|5.2778689713|45 % 
(-0.017333984375, 0.99560546875, -0.0068359375)|5.28733347635|45 % 
(-0.0205078125, 1.00048828125, -0.0078125)|5.29692874698|45 % 
(-0.0205078125, 0.994384765625, -0.00634765625)|5.30686416616|45 % 
(-0.01953125, 0.99267578125, -0.00390625)|5.31639464659|45 % 
(-0.01904296875, 0.9931640625, -0.001953125)|5.3263778683|45 % 
(-0.019775390625, 0.991943359375, -0.00927734375)|5.33606518842|45 % 
(-0.01708984375, 0.99609375, -0.00927734375)|5.34539181676|45 % 
(-0.022705078125, 0.995361328125, -0.0068359375)|5.35497207503|45 % 
(-0.020263671875, 0.995849609375, -0.00390625)|5.36448003691|45 % 
(-0.017578125, 0.9931640625, -0.005859375)|5.37403935689|45 % 
(-0.01904296875, 0.993896484375, -0.0048828125)|5.3835157138|45 % 
(-0.02197265625, 0.995849609375, -0.00732421875)|5.39312560173|45 % 
(-0.020751953125, 0.9921875, -0.00537109375)|5.40251385977|45 % 
(-0.01611328125, 0.994384765625, -0.005126953125)|5.41211387115|45 % 
(-0.01806640625, 0.99658203125, -0.00732421875)|5.42157837619|45 % 
(-0.01708984375, 0.995849609375, -0.00927734375)|5.43115626409|45 % 
(-0.02001953125, 0.990966796875, -0.00634765625)|5.44063696668|45 % 
(-0.018310546875, 0.993896484375, -0.00634765625)|5.45026463241|45 % 
(-0.0205078125, 0.9990234375, -0.0068359375)|5.45973150783|45 % 
(-0.0205078125, 0.996826171875, -0.0078125)|5.46969932211|45 % 
(-0.01904296875, 0.992431640625, -0.00439453125)|5.47927286432|45 % 
(-0.0205078125, 0.995361328125, -0.0048828125)|5.48881519662|45 % 
(-0.01953125, 0.993408203125, -0.009765625)|5.49835950423|45 % 
(-0.0185546875, 0.99658203125, -0.00830078125)|5.50830954071|45 % 
(-0.017578125, 0.992919921875, -0.00537109375)|5.51795142868|45 % 
(-0.021240234375, 0.9931640625, -0.0068359375)|5.5274297609|45 % 
(-0.019287109375, 0.99169921875, -0.005859375)|5.53694996972|45 % 
(-0.01904296875, 0.99560546875, -0.00537109375)|5.54646583285|45 % 
(-0.02001953125, 0.991943359375, -0.0107421875)|5.55646209161|45 % 
(-0.01806640625, 0.994384765625, -0.00830078125)|5.56668393088|45 % 
(-0.020263671875, 0.989013671875, -0.00439453125)|5.57605243582|45 % 
(-0.02099609375, 0.987548828125, -0.00634765625)|5.58557264463|45 % 
(-0.020263671875, 0.99560546875, -0.0078125)|5.59509403863|45 % 
(-0.018310546875, 0.997314453125, -0.0087890625)|5.60460753139|45 % 
(-0.019775390625, 0.994384765625, -0.00732421875)|5.61414077725|45 % 
(-0.01806640625, 0.997314453125, -0.00634765625)|5.6527735144|45 % 
(-0.021240234375, 0.9970703125, -0.005859375)|5.66225066143|45 % 
(-0.017822265625, 0.994873046875, -0.00927734375)|5.67184000613|45 % 
(-0.0205078125, 0.997314453125, -0.0068359375)|5.68137364706|45 % 
(-0.021728515625, 0.9921875, -0.009765625)|5.69089978181|45 % 
(-0.0166015625, 0.992431640625, -0.00830078125)|5.70041841037|45 % 
(-0.018310546875, 0.994384765625, -0.00634765625)|5.70990780434|45 % 
(-0.017822265625, 0.99169921875, -0.005859375)|5.71944263045|45 % 
(-0.020263671875, 0.99560546875, -0.00830078125)|5.72897350594|45 % 
(-0.0185546875, 0.996826171875, -0.0087890625)|5.73864186308|45 % 
(-0.020751953125, 0.99609375, -0.01025390625)|5.74807792365|45 % 
(-0.021484375, 0.99560546875, -0.0048828125)|5.75755744106|45 % 
(-0.020751953125, 0.995849609375, -0.00830078125)|5.76707093381|45 % 
(-0.01953125, 0.9921875, -0.005859375)|5.77656190802|45 % 
(-0.020751953125, 0.9921875, -0.00634765625)|5.78613149961|45 % 
(-0.01904296875, 0.993408203125, -0.0068359375)|5.79565802942|45 % 
(-0.0185546875, 0.99365234375, -0.00732421875)|5.80563453507|45 % 
(-0.01806640625, 0.994873046875, -0.00732421875)|5.81568926304|45 % 
(-0.021484375, 0.99169921875, -0.00634765625)|5.82558083032|45 % 
(-0.020263671875, 0.98974609375, -0.00732421875)|5.83520731086|45 % 
(-0.021240234375, 0.995361328125, -0.00830078125)|5.84513324855|45 % 
(-0.021240234375, 0.996826171875, -0.0087890625)|5.85478343283|45 % 
(-0.01904296875, 0.9970703125, -0.005126953125)|5.87372706022|45 % 
(-0.0205078125, 0.99560546875, -0.00830078125)|5.88368223251|45 % 
(-0.0205078125, 0.99560546875, -0.0068359375)|5.89328026858|45 % 
(-0.021240234375, 0.99365234375, -0.00732421875)|5.90273015632|45 % 
(-0.023193359375, 1.0009765625, -0.0068359375)|5.91237559985|45 % 
(-0.020751953125, 0.99560546875, -0.00244140625)|5.92180533942|45 % 
(-0.0185546875, 0.990966796875, -0.00537109375)|5.93130540007|45 % 
(-0.01708984375, 0.9931640625, -0.005859375)|5.94127321435|45 % 
(-0.017822265625, 0.994384765625, -0.005859375)|5.95080685528|45 % 
(-0.021484375, 0.989013671875, -0.0078125)|5.96032390359|45 % 
(-0.01953125, 0.99365234375, -0.00732421875)|5.96991008779|45 % 
(-0.020751953125, 0.9951171875, -0.0068359375)|5.97935918541|45 % 
(-0.015380859375, 0.993408203125, -0.00732421875)|5.98893944368|45 % 
(-0.019287109375, 0.994384765625, -0.00634765625)|5.99891397402|45 % 
(-0.021484375, 0.993896484375, -0.0078125)|6.00845472607|45 % 
(-0.0185546875, 0.99560546875, -0.00830078125)|6.01796940401|45 % 
(-0.020751953125, 0.998046875, -0.00830078125)|6.02768793405|45 % 
(-0.0205078125, 0.99658203125, -0.00732421875)|6.0370813279|45 % 
(-0.01904296875, 0.99365234375, -0.0048828125)|6.04661338858|45 % 
(-0.02294921875, 0.992919921875, -0.006103515625)|6.056480462|45 % 
(-0.020751953125, 0.99072265625, -0.00390625)|6.06600462144|45 % 
(-0.01904296875, 0.997802734375, -0.00439453125)|6.07557144759|45 % 
(-0.0224609375, 0.998291015625, -0.0087890625)|6.08507782923|45 % 
(-0.017578125, 0.9951171875, -0.01025390625)|6.09460001335|45 % 
(-0.020263671875, 0.995361328125, -0.009765625)|6.10411271599|45 % 
(-0.01904296875, 0.99169921875, -0.00732421875)|6.11362344331|45 % 
(-0.01806640625, 0.994873046875, -0.0068359375)|6.12317644228|45 % 
(-0.021484375, 0.993896484375, -0.00537109375)|6.13271363877|45 % 
(-0.01708984375, 0.9970703125, -0.00634765625)|6.14218999568|45 % 
(-0.019775390625, 0.994384765625, -0.00927734375)|6.15174892059|45 % 
(-0.0244140625, 0.995849609375, -0.00732421875)|6.16123396887|45 % 
(-0.0166015625, 0.994140625, -0.004150390625)|6.170743511|45 % 
(-0.019775390625, 0.99755859375, -0.00537109375)|6.18029967048|45 % 
(-0.0166015625, 0.995849609375, -0.0087890625)|6.18984674352|45 % 
(-0.01904296875, 0.99462890625, -0.0068359375)|6.19939500175|45 % 
(-0.02099609375, 0.99462890625, -0.0068359375)|6.20892666737|45 % 
(-0.019775390625, 0.989501953125, -0.0068359375)|6.21844845643|45 % 
(-0.01708984375, 0.9931640625, -0.006591796875)|6.22842219665|45 % 
(-0.017578125, 0.9970703125, -0.00537109375)|6.2379890228|45 % 
(-0.020751953125, 0.9892578125, -0.0078125)|6.24745234266|45 % 
(-0.016845703125, 0.991455078125, -0.004150390625)|6.25701916881|45 % 
(-0.019287109375, 0.994384765625, -0.00244140625)|6.26653582207|45 % 
(-0.019287109375, 0.99853515625, -0.0087890625)|6.27605879632|45 % 
(-0.0185546875, 0.989990234375, -0.00390625)|6.28600685749|45 % 
(-0.020263671875, 1.000244140625, -0.0048828125)|6.29556341203|45 % 
(-0.01806640625, 0.99267578125, -0.00634765625)|6.30558455971|45 % 
(-0.01953125, 0.997314453125, -0.005859375)|6.32463919957|45 % 
(-0.018310546875, 0.994140625, -0.0078125)|6.33460503854|45 % 
