

Device Info|Serial Number|Firmware Version|Hardware Version
|301992023;17Mar2015N37;TSS-WL                  v2.0.0  

Raw Accelerometer Data|Time|Battery
(0.000244140625, 0.987060546875, -0.0166015625)|4.94113612777|61 % 
(0.0, 0.9697265625, -0.0185546875)|4.95083016395|61 % 
(0.000244140625, 0.972900390625, -0.020751953125)|4.9601880022|61 % 
(0.000732421875, 0.971435546875, -0.021240234375)|4.97025497709|61 % 
(-0.01708984375, 0.98681640625, -0.02880859375)|4.98021647038|61 % 
(-0.13427734375, 0.9716796875, -0.045166015625)|4.98974734587|61 % 
(-0.184326171875, 0.9794921875, -0.06298828125)|4.99928375224|61 % 
(-0.1923828125, 0.977783203125, -0.063232421875)|5.00883833146|61 % 
(-0.165283203125, 1.005859375, -0.056884765625)|5.01835775015|61 % 
(-0.081298828125, 0.90087890625, -0.04638671875)|5.02833386074|61 % 
(-0.09716796875, 1.065673828125, -0.31689453125)|5.03789199553|61 % 
(-1.41845703125, 0.836669921875, 0.08056640625)|5.04740864878|61 % 
(0.76953125, 1.353759765625, 0.141357421875)|5.05695611689|61 % 
(-0.205322265625, 0.823486328125, 0.28857421875)|5.06667346174|61 % 
(-0.147705078125, 1.231201171875, 0.08935546875)|5.07600127526|61 % 
(0.023193359375, 1.236572265625, -0.097900390625)|5.08550686677|61 % 
(-0.037353515625, 0.875732421875, 0.109375)|5.09508198923|61 % 
(-0.083740234375, 0.966064453125, 0.076416015625)|5.10459113631|61 % 
(0.01953125, 0.986572265625, -0.04833984375)|5.12398118398|61 % 
(-0.019775390625, 1.09033203125, -0.046630859375)|5.1331146269|61 % 
(-0.04638671875, 1.056396484375, -0.00732421875)|5.14267750243|61 % 
(-0.068359375, 1.06884765625, 0.00146484375)|5.15271682297|61 % 
(-0.093994140625, 1.27734375, -0.04443359375)|5.16269964962|61 % 
(-0.235107421875, 1.436279296875, 0.0478515625)|5.18207942567|61 % 
(-0.41943359375, 1.72802734375, -0.04931640625)|5.19130294278|61 % 
(-0.453857421875, 1.7890625, 0.077392578125)|5.20130354722|61 % 
(-0.539794921875, 1.611083984375, 0.030029296875)|5.21084745977|61 % 
(-0.48046875, 1.79052734375, 0.13330078125)|5.22041547111|61 % 
(-0.24658203125, 1.999755859375, 0.112060546875)|5.23036629772|61 % 
(-0.442138671875, 1.82568359375, 0.0048828125)|5.24020571679|61 % 
(-0.0869140625, 1.441650390625, -0.177978515625)|5.24945846849|61 % 
(-0.136962890625, 1.21435546875, -0.02099609375)|5.25897630693|61 % 
(-0.077392578125, 0.79736328125, -0.169189453125)|5.26894688665|61 % 
(0.228759765625, -0.25, -0.4091796875)|5.27855598446|61 % 
(0.109375, -0.274658203125, -0.0751953125)|5.28805130436|61 % 
(0.103271484375, -0.423828125, 0.165283203125)|5.29775403191|61 % 
(0.182373046875, -0.56201171875, 0.210205078125)|5.30710752447|61 % 
(0.219482421875, -0.597412109375, 0.25634765625)|5.31693469661|61 % 
(0.2578125, -0.490234375, 0.2568359375)|5.32800828999|61 % 
(0.272216796875, -0.537841796875, 0.403564453125)|5.33640494191|61 % 
(0.201416015625, -0.443603515625, 0.35888671875)|5.34598441006|61 % 
(0.0810546875, -0.185791015625, 0.151611328125)|5.35557335969|61 % 
(0.1943359375, -0.3310546875, 0.06103515625)|5.36502996349|61 % 
(0.2158203125, -0.05224609375, 0.15380859375)|5.37505071611|61 % 
(0.198486328125, 0.50537109375, 0.162109375)|5.38465546823|61 % 
(0.040283203125, 0.771240234375, 0.135986328125)|5.39413617083|61 % 
(-0.067138671875, 1.087646484375, 0.327392578125)|5.40413045428|61 % 
(-0.227294921875, 1.999755859375, 0.34765625)|5.4327195252|61 % 
(-0.379150390625, 1.999755859375, 0.318359375)|5.45174848602|61 % 
(0.20458984375, 1.403564453125, -0.3720703125)|5.46128726276|61 % 
(0.03076171875, 0.461669921875, -0.01171875)|5.47101843479|61 % 
(-0.152587890625, 0.03955078125, 0.099365234375)|5.48035177918|61 % 
(-0.08935546875, -0.759033203125, 0.21484375)|5.48988146949|61 % 
(-0.003662109375, -0.785888671875, 0.2734375)|5.49943644378|61 % 
(0.143798828125, -0.624755859375, 0.183837890625)|5.50894124516|61 % 
(0.1865234375, -0.345703125, 0.12890625)|5.52809109502|61 % 
(0.17138671875, -0.118896484375, 0.089111328125)|5.53647036421|61 % 
(0.125244140625, -0.141845703125, 0.154296875)|5.54349931081|61 % 
(0.16748046875, -0.191650390625, 0.0517578125)|5.55149220918|61 % 
(0.17724609375, -0.159912109375, 0.029296875)|5.56959751458|61 % 
(-0.106689453125, 0.472900390625, 0.35986328125)|5.57923782231|61 % 
(-0.179931640625, 1.2119140625, 0.255126953125)|5.58871299403|61 % 
(-0.44287109375, 1.72216796875, 0.232421875)|5.59868278362|61 % 
(-0.663330078125, 1.999755859375, 0.419189453125)|5.60825751102|61 % 
(-0.19091796875, 1.999755859375, -0.0234375)|5.61773189262|61 % 
(-0.1865234375, 1.572998046875, -0.4833984375)|5.64634150678|61 % 
(-0.22900390625, 0.830810546875, -0.347412109375)|5.65585183903|61 % 
(-0.169677734375, 0.079345703125, -0.111572265625)|5.66535664042|61 % 
(-0.130859375, -0.503662109375, -0.0439453125)|5.67487763936|61 % 
(-0.0859375, -1.08203125, 0.087890625)|5.68484466352|61 % 
(-0.04150390625, -1.218017578125, 0.14306640625)|5.70389021696|61 % 
(0.143310546875, -0.868896484375, 0.130859375)|5.71342938876|61 % 
(0.188232421875, -0.7578125, 0.079345703125)|5.72295196794|61 % 
(0.185546875, -0.4970703125, -0.005126953125)|5.74206981776|61 % 
(0.15185546875, -0.251708984375, -0.0732421875)|5.75156948334|61 % 
(-0.1767578125, 0.348876953125, 0.104248046875)|5.7610588773|61 % 
(-0.52099609375, 1.58203125, 0.240234375)|5.77108042005|61 % 
(-0.676513671875, 1.999755859375, 0.455322265625)|5.78057257944|61 % 
(-0.63330078125, 1.999755859375, 0.134765625)|5.79014967721|61 % 
(-0.37939453125, 1.999755859375, -0.2177734375)|5.80015344216|61 % 
(-0.3330078125, 1.999755859375, -0.333984375)|5.80982179929|61 % 
(-0.24462890625, 0.971923828125, -0.42236328125)|5.81970981101|61 % 
(0.096435546875, 0.691650390625, -0.127685546875)|5.82928532854|61 % 
(-0.18505859375, 0.00732421875, -0.054443359375)|5.83882726577|61 % 
(-0.372802734375, -0.395263671875, 0.197021484375)|5.84878678375|61 % 
(-0.26220703125, -0.382568359375, 0.13037109375)|5.85834452347|61 % 
(-0.164306640625, -0.474853515625, 0.2099609375)|5.86834038717|61 % 
(0.00439453125, -0.3037109375, 0.135986328125)|5.87786612685|61 % 
(0.185546875, 0.371337890625, 0.070556640625)|5.91598133252|61 % 
(0.163818359375, 1.04345703125, 0.0791015625)|5.92615773964|61 % 
(-0.02978515625, 1.6943359375, 0.16748046875)|5.93549068898|61 % 
(-0.129638671875, 1.999755859375, 0.20654296875)|5.94507568799|61 % 
(-0.155517578125, 1.999755859375, 0.148681640625)|5.95508379862|61 % 
(-0.053466796875, 1.646240234375, 0.020751953125)|5.96508874875|61 % 
(-0.022216796875, 1.335205078125, -0.024658203125)|5.97461093287|61 % 
(-0.206298828125, 0.810302734375, -0.0185546875)|5.98440808029|61 % 
(-0.2626953125, 0.59033203125, 0.001220703125)|5.99366201718|61 % 
(-0.29150390625, 0.498046875, 0.042236328125)|6.00319881861|61 % 
(-0.324951171875, 0.55126953125, 0.078125)|6.01320890454|61 % 
(-0.24755859375, 0.65673828125, 0.05224609375)|6.02280891592|61 % 
(-0.140869140625, 0.871337890625, 0.00732421875)|6.03225880366|61 % 
(-0.07763671875, 1.072998046875, 0.021240234375)|6.0419741732|61 % 
(-0.318115234375, 1.28173828125, 0.165283203125)|6.05135650531|61 % 
(-0.056640625, 1.3525390625, -0.084716796875)|6.06084787459|61 % 
(-0.063720703125, 1.1640625, -0.01318359375)|6.07033924386|61 % 
(-0.1298828125, 1.105712890625, 0.0126953125)|6.07991199595|61 % 
(-0.03271484375, 0.900146484375, -0.02734375)|6.09903419145|61 % 
(-0.00634765625, 1.159423828125, 0.0107421875)|6.11800863369|61 % 
(-0.00537109375, 0.958740234375, -0.021484375)|6.1280681024|61 % 
(-0.0732421875, 0.90234375, -0.0234375)|6.13805764511|61 % 
(0.052978515625, 0.4140625, -0.059326171875)|6.17670144399|61 % 
(-0.086669921875, 1.079833984375, -0.045654296875)|6.18665898666|61 % 
(-0.21435546875, 0.9501953125, -0.05322265625)|6.20574720681|61 % 
(-0.5166015625, 0.873779296875, 0.11767578125)|6.21546652697|61 % 
(0.656005859375, 1.07177734375, -0.03369140625)|6.25436830147|61 % 
(0.47021484375, -2.0, -0.69091796875)|6.26384228801|61 % 
(0.247314453125, 1.221435546875, -0.3251953125)|6.27361928725|61 % 
(0.258544921875, -0.19775390625, 0.0078125)|6.28293840941|61 % 
(0.110595703125, 0.24658203125, -0.04833984375)|6.29297338426|61 % 
