

Device Info|WL Sensor|Firmware Version|Hardware Version
|<YEI3Space WL:12000857>;17Mar2015N37;TSS-WL                  v2.0.0  

Raw Accelerometer Data (X, Y, Z)|Time|Battery
(-0.76904296875, -0.142333984375, -0.9345703125)|5.37520281506|34 % 
(-0.53564453125, -0.16552734375, -0.944580078125)|5.38462978919|34 % 
(-0.02587890625, -0.388916015625, -0.871826171875)|5.39421834376|34 % 
(0.439453125, -0.554443359375, -0.5634765625)|5.40368324387|34 % 
(0.083984375, -0.453125, -0.573486328125)|5.41332789728|34 % 
(-0.6240234375, -0.40625, -0.64794921875)|5.42280780975|34 % 
(-0.693359375, -0.25830078125, -0.654296875)|5.43858580376|34 % 
(-0.70361328125, -0.137451171875, -0.63134765625)|5.45814572817|34 % 
(-0.708251953125, -0.24072265625, -0.65869140625)|5.46770544321|34 % 
(-0.700927734375, -0.1552734375, -0.62353515625)|5.47771513408|34 % 
(-0.647216796875, -0.1015625, -0.6474609375)|5.48757983713|34 % 
(-0.693359375, -0.146728515625, -0.644287109375)|5.49711347806|34 % 
(-0.6474609375, -0.08544921875, -0.65966796875)|5.50662499551|34 % 
(-0.62158203125, -0.040771484375, -0.703857421875)|5.51656199494|34 % 
(-0.951416015625, 0.382568359375, -0.234619140625)|5.52625445087|34 % 
(-0.711181640625, 0.090576171875, -0.637939453125)|5.53617880831|34 % 
(-0.553466796875, -0.281005859375, -0.678466796875)|5.54658909225|34 % 
(-0.595947265625, -0.40478515625, -0.876953125)|5.55526702846|34 % 
(-0.803955078125, -0.2724609375, -0.930419921875)|5.56481133607|34 % 
(-1.15380859375, 0.127685546875, -0.835693359375)|5.57428571767|34 % 
(-1.268310546875, 0.125732421875, -0.8701171875)|5.5838371364|34 % 
(-1.20458984375, 0.18212890625, -0.79345703125)|5.59336011065|34 % 
(-0.8046875, 0.056640625, -0.6474609375)|5.60289612195|34 % 
(-0.728515625, 0.0517578125, -0.60595703125)|5.61244951599|34 % 
(-0.7275390625, 0.0849609375, -0.665771484375)|5.6219404902|34 % 
(-0.67333984375, 0.095947265625, -0.75341796875)|5.63200390954|34 % 
(-0.649169921875, 0.092529296875, -0.833984375)|5.64160273573|34 % 
(-0.661865234375, 0.1650390625, -0.852783203125)|5.65106842596|34 % 
(-0.779052734375, 0.135009765625, -1.038330078125)|5.66059416564|34 % 
(-0.885498046875, 0.13623046875, -0.70458984375)|5.67010212753|34 % 
(-0.8427734375, 0.1259765625, -0.69775390625)|5.67959705236|34 % 
(-0.862548828125, 0.151611328125, -0.728515625)|5.68915479208|34 % 
(-0.83740234375, 0.063720703125, -0.557861328125)|5.69870660587|34 % 
(-0.696533203125, 0.164794921875, -0.68603515625)|5.70822404925|34 % 
(-0.6982421875, 0.264892578125, -0.68115234375)|5.71770672716|34 % 
(-0.7490234375, 0.22509765625, -0.67822265625)|5.72776264031|34 % 
(-0.743408203125, 0.219482421875, -0.673583984375)|5.7377419114|34 % 
(-0.752197265625, 0.263916015625, -0.655517578125)|5.7477136763|34 % 
(-0.698974609375, 0.27978515625, -0.7060546875)|5.75726588515|34 % 
(-0.733154296875, 0.300048828125, -0.677734375)|5.77673257489|34 % 
(-0.760009765625, 0.271240234375, -0.647216796875)|5.78678414236|34 % 
