<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button
(-0.4152332544326782, -0.530298113822937, -0.28834235668182373, 0.6806056499481201, 57, 0)
(-0.43188410997390747, -0.5237617492675781, -0.2829378843307495, 0.6775662899017334, 57, 0)
(-0.44865089654922485, -0.51711505651474, -0.2772110402584076, 0.6741353869438171, 57, 0)
(-0.47218480706214905, -0.507425844669342, -0.26930463314056396, 0.6686072945594788, 57, 0)
(-0.5003162622451782, -0.49577152729034424, -0.2615657150745392, 0.6599072813987732, 57, 0)
(-0.5268009901046753, -0.4846600294113159, -0.2558256983757019, 0.6497220396995544, 57, 0)
(-0.5415408611297607, -0.4782140254974365, -0.2510908842086792, 0.6442038416862488, 57, 0)
(-0.5708752870559692, -0.4650968909263611, -0.24015416204929352, 0.6325444579124451, 57, 0)
(-0.5918825268745422, -0.45513665676116943, -0.2334456592798233, 0.6229197978973389, 57, 0)
(-0.6179651618003845, -0.44364988803863525, -0.22617599368095398, 0.6083899736404419, 57, 0)
(-0.6435700058937073, -0.4330064058303833, -0.21867451071739197, 0.5920344591140747, 57, 0)
(-0.6672803163528442, -0.42413946986198425, -0.21232007443904877, 0.5742500424385071, 57, 0)
(-0.6847383379936218, -0.4169335663318634, -0.20784756541252136, 0.5604456067085266, 57, 0)
(-0.7081242203712463, -0.4042032063007355, -0.19966590404510498, 0.543427586555481, 57, 0)
(-0.7199800610542297, -0.39686352014541626, -0.19474798440933228, 0.5349779725074768, 57, 0)
(-0.7412683367729187, -0.38424137234687805, -0.1861369013786316, 0.5179122090339661, 57, 0)
(-0.7566884160041809, -0.37619906663894653, -0.18070539832115173, 0.5032320618629456, 57, 0)
(-0.7715357542037964, -0.36979860067367554, -0.17595666646957397, 0.4868481159210205, 57, 0)
(-0.776013195514679, -0.3682272732257843, -0.17454934120178223, 0.4813988506793976, 57, 0)
(-0.7943835854530334, -0.36352288722991943, -0.1687237024307251, 0.4564410448074341, 57, 0)
(-0.8100959062576294, -0.36034712195396423, -0.16297942399978638, 0.4328191578388214, 57, 0)
(-0.8198426365852356, -0.3589848577976227, -0.159664124250412, 0.4165276288986206, 57, 0)
(-0.8246890902519226, -0.35961413383483887, -0.15832188725471497, 0.40681660175323486, 57, 0)
(-0.8285931348800659, -0.3611952066421509, -0.15750360488891602, 0.39769861102104187, 57, 0)
(-0.8347057104110718, -0.36604639887809753, -0.15676119923591614, 0.38039785623550415, 57, 0)
(-0.8385339975357056, -0.37082523107528687, -0.15626806020736694, 0.367328017950058, 57, 0)
(-0.8424196839332581, -0.378557950258255, -0.15619009733200073, 0.35018259286880493, 57, 0)
(-0.8447331786155701, -0.38515526056289673, -0.15656858682632446, 0.3369980454444885, 57, 0)
(-0.846807062625885, -0.39110445976257324, -0.15628966689109802, 0.3248516023159027, 57, 0)
(-0.8498076796531677, -0.39707881212234497, -0.15469956398010254, 0.31019914150238037, 57, 0)
(-0.8513343334197998, -0.40181964635849, -0.15258482098579407, 0.30081358551979065, 57, 0)
(-0.8524893522262573, -0.4086151123046875, -0.1489810347557068, 0.29000112414360046, 57, 0)
(-0.8528527021408081, -0.4149058759212494, -0.1459433138370514, 0.2814180552959442, 57, 0)
(-0.853137195110321, -0.4195190668106079, -0.14367541670799255, 0.27480563521385193, 57, 0)
(-0.8564882278442383, -0.42298266291618347, -0.139789879322052, 0.2607153356075287, 57, 0)
(-0.8588226437568665, -0.4308168888092041, -0.1342012584209442, 0.24250924587249756, 57, 0)
(-0.8562120795249939, -0.44411200284957886, -0.12866699695587158, 0.23045654594898224, 57, 0)
(-0.8520011305809021, -0.4573467969894409, -0.12456709146499634, 0.22228623926639557, 57, 0)
(-0.8475364446640015, -0.4686974883079529, -0.12205076217651367, 0.2170446515083313, 57, 0)
(-0.8445140719413757, -0.47780635952949524, -0.11904090642929077, 0.2105388343334198, 57, 0)
(-0.8412089943885803, -0.48954734206199646, -0.11301890015602112, 0.19984465837478638, 57, 0)
(-0.8365670442581177, -0.5037104487419128, -0.10615482926368713, 0.18751749396324158, 57, 0)
(-0.8331961631774902, -0.5124728083610535, -0.10284340381622314, 0.18049737811088562, 57, 0)
(-0.8240740895271301, -0.5324772596359253, -0.09778812527656555, 0.16675642132759094, 57, 0)
(-0.8101075291633606, -0.5579479932785034, -0.09428271651268005, 0.15339750051498413, 57, 0)
(-0.7965866923332214, -0.5800361037254333, -0.09181404113769531, 0.1434510350227356, 57, 0)
(-0.7810413837432861, -0.6035381555557251, -0.08865076303482056, 0.13363119959831238, 57, 0)
(-0.7572572231292725, -0.6364204287528992, -0.08315563201904297, 0.12089626491069794, 57, 0)
(-0.7386265397071838, -0.6606144905090332, -0.07756248116493225, 0.10956097394227982, 57, 0)
(-0.7157720327377319, -0.6887214183807373, -0.06881782412528992, 0.09272328019142151, 57, 0)
(-0.6933503150939941, -0.7141581177711487, -0.060799986124038696, 0.0744781643152237, 57, 0)
(-0.674652099609375, -0.7334040403366089, -0.05763384699821472, 0.06034614518284798, 57, 0)
(-0.6602044105529785, -0.747130811214447, -0.05733299255371094, 0.051370181143283844, 57, 0)
(-0.6360906362533569, -0.768349826335907, -0.05873486399650574, 0.03971949219703674, 57, 0)
(-0.6177168488502502, -0.7834271788597107, -0.05979067087173462, 0.03305933251976967, 57, 0)
(-0.5805670619010925, -0.811604917049408, -0.06105312705039978, 0.022630678489804268, 57, 0)
(-0.5605748295783997, -0.8256714344024658, -0.06079499423503876, 0.018078144639730453, 57, 0)
(-0.5201313495635986, -0.851990818977356, -0.059036239981651306, 0.009484944865107536, 57, 0)
(-0.4809463620185852, -0.8747882843017578, -0.05861176550388336, -0.0009691966697573662, 57, 0)
(-0.46140357851982117, -0.8851472735404968, -0.05971132218837738, -0.007470892742276192, 57, 0)
(-0.4422631561756134, -0.8946325778961182, -0.06192503869533539, -0.014182321727275848, 57, 0)
(-0.40697795152664185, -0.9104366302490234, -0.06922559440135956, -0.02611902914941311, 57, 0)
(-0.382487952709198, -0.9201833009719849, -0.07621769607067108, -0.034009963274002075, 57, 0)
(-0.35454750061035156, -0.930192768573761, -0.0846049040555954, -0.04335687309503555, 57, 0)
(-0.33700352907180786, -0.9358991980552673, -0.08935625106096268, -0.05036882311105728, 57, 0)
(-0.31757110357284546, -0.9416612386703491, -0.09453386068344116, -0.059045951813459396, 57, 0)
(-0.29863762855529785, -0.9465824961662292, -0.10135321319103241, -0.06726617366075516, 57, 0)
(-0.2764512896537781, -0.9516794681549072, -0.110817089676857, -0.07483728975057602, 57, 0)
(-0.2706640064716339, -0.9529165625572205, -0.11335743963718414, -0.07642929255962372, 57, 0)
(-0.2453763335943222, -0.9578173756599426, -0.1252577006816864, -0.08177415281534195, 57, 0)
(-0.22697561979293823, -0.9609202742576599, -0.13432887196540833, -0.08408388495445251, 57, 0)
(-0.20255738496780396, -0.9643155336380005, -0.14657562971115112, -0.0870731845498085, 57, 0)
(-0.18455933034420013, -0.9662002921104431, -0.1556645631790161, -0.09035297483205795, 57, 0)
(-0.17323169112205505, -0.9669933319091797, -0.1619696468114853, -0.09316975623369217, 57, 0)
(-0.1626783013343811, -0.9674251675605774, -0.1685428023338318, -0.09600930660963058, 57, 0)
(-0.14339053630828857, -0.9676933884620667, -0.18137581646442413, -0.10055656731128693, 57, 0)
(-0.13874270021915436, -0.967697262763977, -0.18444985151290894, -0.10144460946321487, 57, 0)
(-0.1275998204946518, -0.9676306843757629, -0.1916269212961197, -0.1033845841884613, 57, 0)
(-0.11692360043525696, -0.9674504399299622, -0.1982618123292923, -0.10517007112503052, 57, 0)
(-0.09654492884874344, -0.966585099697113, -0.21066990494728088, -0.10959291458129883, 57, 0)
(-0.0821663960814476, -0.9652917981147766, -0.22009935975074768, -0.11409122496843338, 57, 0)
(-0.06130046024918556, -0.9632440805435181, -0.2328469604253769, -0.11910276114940643, 57, 0)
(-0.046297330409288406, -0.9620521664619446, -0.24025607109069824, -0.12078619748353958, 57, 0)
(-0.02707289531826973, -0.9601735472679138, -0.24877525866031647, -0.12427790462970734, 57, 0)
(-0.012990142218768597, -0.9589478373527527, -0.2542043924331665, -0.12502150237560272, 57, 0)
(-0.0001473771408200264, -0.9577063322067261, -0.25745320320129395, -0.12851610779762268, 57, 0)
(0.016756772994995117, -0.9559627175331116, -0.2621012032032013, -0.13098666071891785, 57, 0)
(0.03017732873558998, -0.9544159770011902, -0.26625481247901917, -0.13148413598537445, 57, 0)
(0.03871723264455795, -0.9530539512634277, -0.2697087526321411, -0.13208505511283875, 57, 0)
